title,source,csv file,git hub csv file,pdf link,pdf name,year
Pesticide Imported and Formulated in Nepal 2006-2012,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Datasets for OpenNepal - 60.csv&nid=4162,"https://github.com/opennepal/odp-agriculture/tree/master/Pesticide Imported and Formulated in Nepal, 2006-2012/data.csv",http://cbs.gov.np/wp-content/uploads/2014/07/Environment Statistics of Nepal 2013.pdf,Environment Statistics of Nepal 2013.pdf,2006/07-2010/11
Commodies production in Nepal,Food and Agriculture Organization of the United Nations,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/commodities production.csv&nid=1326,https://github.com/opennepal/odp-agriculture/tree/master/Commodies production in Nepal/data.csv,,,1961-2011
Prices of Milk and Milk products in Nepal,"Ministry of Agriculture Development,Agriculture Information and Communication Centre",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/prices_of_milk_and_milk_products.csv&nid=162,https://github.com/opennepal/odp-agriculture/tree/master/Prices of Milk and Milk products in Nepal/data.csv,http://www.aicc.gov.np/pdf/agriculture_statistics/Price 1.pdf,Price 1.pdf,1986/97-2003/2004
Sale prices of Chemical Fertilizers,"Ministry of Agriculture Development,Agriculture Information and Communication Centre",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/national_annual_average_retail_price_0.csv&nid=161,https://github.com/opennepal/odp-agriculture/tree/master/Sale prices of Chemical Fertilizers/data.csv,http://www.aicc.gov.np/pdf/agriculture_statistics/Price 1.pdf,Price 1.pdf, 86/88-99/00
National Annual Average Retail Price of Agricultural Commodities,"Ministry of Agriculture Development,Agriculture Information and Communication Centre",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/national_annual_average_retail_price.csv&nid=160,https://github.com/opennepal/odp-agriculture/tree/master/National Annual Average Retail Price of Agricultural Commodities/data.csv,http://www.aicc.gov.np/pdf/agriculture_statistics/Price 1.pdf,Price 1.pdf, 86/88-99/00
Annual Sales of Improved Seeds,"Ministry of Agriculture Development,Agriculture Information and Communication Centre",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/annual_sales_of_improved_seeds.csv&nid=159,https://github.com/opennepal/odp-agriculture/tree/master/Annual Sales of Improved Seeds/data.csv,http://www.aicc.gov.np/database/agriculture_ststistics/national_level_data/Annual sales of chemical fertilizers and improved seeds.pdf,Annual sales of chemical fertilizers and improved seeds.pdf,1991/92-2004/05
Annual Sales of Chemical Fertilizers,"Ministry of Agriculture Development,Agriculture Information and Communication Centre",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/annual_sales_for_fertilizers.csv&nid=158,https://github.com/opennepal/odp-agriculture/tree/master/Annual Sales of Chemical Fertilizers/data.csv,http://www.aicc.gov.np/database/agriculture_ststistics/national_level_data/Annual sales of chemical fertilizers and improved seeds.pdf,Annual sales of chemical fertilizers and improved seeds.pdf,1991/92-2004/05
Area production and yield of cash crops in Nepal,"Ministry of Agriculture Development,Agriculture Information and Communication Centre",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/area_production_yield_of_cash_crop.csv&nid=155,"https://github.com/opennepal/odp-agriculture/tree/master/Area, production and yield of cash crops in Nepal/data.csv","http://www.aicc.gov.np/database/agriculture_ststistics/national_level_data/Area, production and yield of cash crops.pdf","Area, production and yield of cash crops.pdf",1984/85-2004/2005
