Year,Commodity,Price
94/95,Lentil broken,24.67
95/96,Lentil broken,32.71
96/97,Lentil broken,37.76
97/98,Lentil broken,34.27
98/99,Lentil broken,38.3
99/00,Lentil broken,39.75
2000/01,Lentil broken,40.04
2001/02,Lentil broken,40.56
2002/03,Lentil broken,40.93
2003/04,Lentil broken,43.04
 86/88,Soyabean,8.15
87/88,Soyabean,9.53
88/89,Soyabean,11.29
89/90,Soyabean,13.65
90/91,Soyabean,13.53
91/92,Soyabean,13.26
92/93,Soyabean,15.64
93/94,Soyabean,15.13
94/95,Soyabean,18.11
95/96,Soyabean,19.08
96/97,Soyabean,20.71
97/98,Soyabean,23.49
98/99,Soyabean,25.35
99/00,Soyabean,25.97
2000/01,Soyabean,26.67
2001/02,Soyabean,28.59
2002/03,Soyabean,30.76
2003/04,Soyabean,30.99
 86/88,Ghee purified,59.91
87/88,Ghee purified,70.63
88/89,Ghee purified,78.99
89/90,Ghee purified,81.74
90/91,Ghee purified,94.12
91/92,Ghee purified,114.38
92/93,Ghee purified,121.12
93/94,Ghee purified,120.91
94/95,Ghee purified,128.74
95/96,Ghee purified,141.03
96/97,Ghee purified,155.62
97/98,Ghee purified,171.08
98/99,Ghee purified,184.62
99/00,Ghee purified,211.75
2000/01,Ghee purified,221.75
2001/02,Ghee purified,214.01
2002/03,Ghee purified,228.43
2003/04,Ghee purified,236.47
 86/88,Mustard Oil,32.25
87/88,Mustard Oil,45.54
88/89,Mustard Oil,44.07
89/90,Mustard Oil,40.23
90/91,Mustard Oil,47.99
91/92,Mustard Oil,61.19
92/93,Mustard Oil,55.18
93/94,Mustard Oil,53.55
94/95,Mustard Oil,56.65
95/96,Mustard Oil,66.41
96/97,Mustard Oil,69.44
97/98,Mustard Oil,69.77
98/99,Mustard Oil,97.74
99/00,Mustard Oil,77.83
2000/01,Mustard Oil,68.12
2001/02,Mustard Oil,75.4
2002/03,Mustard Oil,81.59
2003/04,Mustard Oil,101.14
 86/88,Mustard Seed,12.22
87/88,Mustard Seed,14.98
88/89,Mustard Seed,13.83
89/90,Mustard Seed,12.38
90/91,Mustard Seed,15.39
91/92,Mustard Seed,21.75
92/93,Mustard Seed,20.96
93/94,Mustard Seed,18.93
94/95,Mustard Seed,0
95/96,Mustard Seed,25.47
96/97,Mustard Seed,24.32
97/98,Mustard Seed,26.99
98/99,Mustard Seed,36.31
99/00,Mustard Seed,35.41
2000/01,Mustard Seed,
2001/02,Mustard Seed,
2002/03,Mustard Seed,
2003/04,Mustard Seed,
 86/88,Mutton,40.21
87/88,Mutton,46.58
88/89,Mutton,43
89/90,Mutton,55.5
90/91,Mutton,66.65
91/92,Mutton,75.18
92/93,Mutton,84.12
93/94,Mutton,89.98
94/95,Mutton,96.16
95/96,Mutton,105.17
96/97,Mutton,120.3
97/98,Mutton,137.37
98/99,Mutton,151.4
99/00,Mutton,158.96
2000/01,Mutton,167.53
2001/02,Mutton,177.65
2002/03,Mutton,185.71
2003/04,Mutton,194.64
 86/88,Chicken,41.98
87/88,Chicken,48.64
88/89,Chicken,52.81
89/90,Chicken,60.54
90/91,Chicken,66.94
91/92,Chicken,69.87
92/93,Chicken,75.48
93/94,Chicken,84.42
94/95,Chicken,87.21
95/96,Chicken,98.83
96/97,Chicken,113.48
97/98,Chicken,124.92
98/99,Chicken,128.34
99/00,Chicken,135.41
2000/01,Chicken,139.15
2001/02,Chicken,133.23
2002/03,Chicken,135.1
2003/04,Chicken,135.83
 86/88,Buff Meat,17.15
87/88,Buff Meat,20.47
88/89,Buff Meat,21.57
89/90,Buff Meat,24.05
90/91,Buff Meat,27.36
91/92,Buff Meat,31.57
92/93,Buff Meat,34.83
93/94,Buff Meat,37.19
94/95,Buff Meat,43.87
95/96,Buff Meat,49.56
96/97,Buff Meat,53.12
97/98,Buff Meat,54.97
98/99,Buff Meat,63.4
99/00,Buff Meat,69.45
2000/01,Buff Meat,73.49
2001/02,Buff Meat,74.29
2002/03,Buff Meat,75.94
2003/04,Buff Meat,82.68
 86/88,Pork,21.18
87/88,Pork,25.83
88/89,Pork,27.09
89/90,Pork,28.87
90/91,Pork,38.76
91/92,Pork,41.72
92/93,Pork,45.9
93/94,Pork,0
94/95,Pork,0
95/96,Pork,0
96/97,Pork,0
97/98,Pork,65.15
98/99,Pork,75.13
99/00,Pork,81.36
2000/01,Pork,80.31
2001/02,Pork,82.6
2002/03,Pork,82.77
2003/04,Pork,86.87
 86/88,Fish Fresh,32.81
87/88,Fish Fresh,37.86
88/89,Fish Fresh,41.22
89/90,Fish Fresh,46.1
90/91,Fish Fresh,50.86
91/92,Fish Fresh,57.1
92/93,Fish Fresh,65.9
93/94,Fish Fresh,67.95
94/95,Fish Fresh,67.53
95/96,Fish Fresh,76.96
96/97,Fish Fresh,78.28
97/98,Fish Fresh,83.18
98/99,Fish Fresh,91.15
99/00,Fish Fresh,92.77
2000/01,Fish Fresh,98.89
2001/02,Fish Fresh,107.03
2002/03,Fish Fresh,102.67
2003/04,Fish Fresh,106.19
 86/88,Hen Egg,1.53
87/88,Hen Egg,1.73
88/89,Hen Egg,1.95
89/90,Hen Egg,2.24
90/91,Hen Egg,2.31
91/92,Hen Egg,2.42
92/93,Hen Egg,2.63
93/94,Hen Egg,2.93
94/95,Hen Egg,3.2
95/96,Hen Egg,3.53
96/97,Hen Egg,3.8
97/98,Hen Egg,3.88
98/99,Hen Egg,4.16
99/00,Hen Egg,4.38
2000/01,Hen Egg,4.49
2001/02,Hen Egg,4.53
2002/03,Hen Egg,4.65
2003/04,Hen Egg,4.66
 86/88,Milk,6.31
87/88,Milk,7.15
88/89,Milk,7.57
89/90,Milk,8.64
90/91,Milk,9.57
91/92,Milk,11.01
92/93,Milk,11.47
93/94,Milk,12.72
94/95,Milk,13.31
95/96,Milk,14.89
96/97,Milk,16.93
97/98,Milk,17.65
98/99,Milk,19.34
99/00,Milk,20.31
2000/01,Milk,22.08
2001/02,Milk,21.75
2002/03,Milk,21.7
2003/04,Milk,22.43
 86/88,Jute,7.13
87/88,Jute,11.79
88/89,Jute,0
89/90,Jute,0
90/91,Jute,0
91/92,Jute,0
92/93,Jute,0
93/94,Jute,
94/95,Jute,
95/96,Jute,
96/97,Jute,
97/98,Jute,
98/99,Jute,
99/00,Jute,
2000/01,Jute,
2001/02,Jute,
2002/03,Jute,
2003/04,Jute,
 86/88,Tobacco,45.64
87/88,Tobacco,44.11
88/89,Tobacco,55.15
89/90,Tobacco,63.7
90/91,Tobacco,48.08
91/92,Tobacco,51.35
92/93,Tobacco,57.24
93/94,Tobacco,0
94/95,Tobacco,0
95/96,Tobacco,0
96/97,Tobacco,0
97/98,Tobacco,0
98/99,Tobacco,
99/00,Tobacco,
2000/01,Tobacco,
2001/02,Tobacco,
2002/03,Tobacco,
