Year AD,Year BS, Milk products,Price
2002/2003,2059/60,Buff Cheese,250
2002/2003,2059/60,Processed Cheese,250
2002/2003,2059/60,Cheese,250
2002/2003,2059/60,Panir,210
2002/2003,2059/60,Cream,130
2002/2003,2059/60,Ghee,225
2003/2004,2060/61,Pasteurised Milk,22
2003/2004,2060/61,Yak Butter,220
2003/2004,2060/61,Local Cheese,280
2003/2004,2060/61,Special Curd,37
2003/2004,2060/61,Kanchan Curd,40
2003/2004,2060/61,Buff Cheese,250
2003/2004,2060/61,Processed Cheese,250
2003/2004,2060/61,Cheese,250
2003/2004,2060/61,Panir,210
2003/2004,2060/61,Cream,120
2003/2004,2060/61,Ghee,230
