Year AD,Year BS,Commodity,Production In 1000 dollars,Production – MT
2005,2062,"Milk, whole fresh buffalo",356826,894591.0
2005,2062,"Milk, whole fresh cow",118470,379637.0
2005,2062,Millet,51641,289838.0
2005,2062,Mustard seed,57435,141989.0
2005,2062,Oilseeds nes,44232,141989.0
2005,2062,Potatoes,268672,1738840.0
2005,2062,"Rice, paddy",1146873,4289827.0
2005,2062,Sugar cane,73949,2376103.0
2005,2062,"Tangerines, mandarins, clementines, satsumas",24080,97480.0
2005,2062,"Vegetables, fresh nes",389167,2065193.0
2005,2062,Wheat,216392,1442442.0
2004,2061,"Eggs, hen, in shell",23223,28000.0
2004,2061,"Fruit, fresh nes",178495,511397.0
2004,2061,Ginger,103416,152704.0
2004,2061,Lentils,61528,158671.0
2004,2061,Maize,177070,1590097.0
2004,2061,"Mangoes, mangosteens, guavas",83993,140183.0
2004,2061,"Meat indigenous, buffalo",359644,133610.0
2004,2061,"Meat indigenous, cattle",128728,47653.0
2004,2061,"Meat indigenous, goat",91387,38140.0
2004,2061,"Meat indigenous, pig",23659,15391.0
2004,2061,"Milk, whole fresh buffalo",344354,863322.0
2004,2061,"Milk, whole fresh cow",115004,368531.0
2004,2061,Millet,50479,283378.0
2004,2061,Mustard seed,53696,132865.0
2004,2061,Oilseeds nes,41390,132865.0
2004,2061,Potatoes,253232,1643357.0
2004,2061,"Rice, paddy",1192582,4455722.0
2004,2061,Sugar cane,71820,2305326.0
2004,2061,"Vegetables, fresh nes",356172,1890100.0
2004,2061,Wheat,207929,1387191.0
2003,2060,"Eggs, hen, in shell",22465,27086.0
2003,2060,"Fruit, fresh nes",178007,510000.0
2003,2060,Ginger,101987,150593.0
2003,2060,Lentils,57972,149963.0
2003,2060,Maize,174755,1569140.0
2003,2060,"Mangoes, mangosteens, guavas",82985,138500.0
2003,2060,"Meat indigenous, buffalo",352054,130791.0
2003,2060,"Meat indigenous, cattle",129288,47860.0
2003,2060,"Meat indigenous, goat",92505,38607.0
2003,2060,"Meat indigenous, pig",24615,16013.0
2003,2060,"Milk, whole fresh buffalo",332808,834376.0
2003,2060,"Milk, whole fresh cow",112827,361555.0
2003,2060,Millet,50386,282860.0
2003,2060,Mustard seed,50442,124931.0
2003,2060,Oilseeds nes,38919,124931.0
2003,2060,Potatoes,234828,1531315.0
2003,2060,"Rice, paddy",1103986,4132500.0
2003,2060,Sugar cane,73036,2343054.0
2003,2060,"Vegetables, fresh nes",339189,1799973.0
2003,2060,Wheat,200737,1344192.0
2002,2059,"Eggs, hen, in shell",21679,26138.0
2002,2059,"Fruit, fresh nes",165009,472758.0
2002,2059,Ginger,59535,87909.0
2002,2059,Lentils,57327,148384.0
2002,2059,Maize,168622,1510770.0
2002,2059,"Mangoes, mangosteens, guavas",75795,126500.0
2002,2059,"Meat indigenous, buffalo",344464,127971.0
2002,2059,"Meat indigenous, cattle",124621,46132.0
2002,2059,"Meat indigenous, goat",93177,38887.0
2002,2059,"Meat indigenous, pig",24414,15882.0
2002,2059,"Milk, whole fresh buffalo",321765,806690.0
2002,2059,"Milk, whole fresh cow",109874,352090.0
2002,2059,Millet,50331,282570.0
2002,2059,Mustard seed,54552,134950.0
2002,2059,Oilseeds nes,42040,134950.0
2002,2059,Potatoes,225788,1472757.0
2002,2059,"Rice, paddy",1104011,4132600.0
2002,2059,Sugar cane,69849,2247990.0
2002,2059,"Vegetables, fresh nes",327527,1738086.0
2002,2059,Wheat,187256,1258045.0
2001,2058,"Fruit, fresh nes",170093,487326.0
2001,2058,Ginger,57136,84366.0
2001,2058,Lentils,55367,143084.0
2001,2058,Maize,165646,1484112.0
2001,2058,"Mangoes, mangosteens, guavas",77892,130000.0
2001,2058,"Meat indigenous, buffalo",336135,124877.0
2001,2058,"Meat indigenous, cattle",126335,46767.0
