Year AD,Year BS,Commodity,Production In 1000 dollars,Production – MT
1983,2040,Sugar cane,18720,616090.0
1983,2040,"Vegetables, fresh nes",126632,672000.0
1983,2040,Wheat,95091,656630.0
1982,2039,Chick peas,15635,35000.0
1982,2039,"Eggs, hen, in shell",12607,15200.0
1982,2039,"Fruit, fresh nes",49563,142000.0
1982,2039,Lentils,19622,51500.0
1982,2039,Maize,79983,718240.0
1982,2039,"Meat indigenous, buffalo",187580,69687.0
1982,2039,"Meat indigenous, cattle",111352,41221.0
1982,2039,"Meat indigenous, goat",57039,23805.0
1982,2039,"Milk, whole fresh buffalo",212997,534000.0
1982,2039,"Milk, whole fresh cow",62412,200000.0
1982,2039,"Milk, whole fresh goat",15940,47500.0
1982,2039,Millet,21518,121070.0
1982,2039,Mustard seed,31997,79120.0
1982,2039,Potatoes,45419,321100.0
1982,2039,"Pulses, nes",20377,39000.0
1982,2039,"Rice, paddy",479908,1832620.0
1982,2039,"Roots and tubers, nes",12313,72000.0
1982,2039,Sugar cane,17666,590000.0
1982,2039,"Vegetables, fresh nes",103643,550000.0
1982,2039,Wheat,76012,525930.0
1981,2038,Chick peas,14861,33500.0
1981,2038,"Fruit, fresh nes",48167,138000.0
1981,2038,Jute,16790,59284.0
1981,2038,Lentils,18748,49000.0
1981,2038,Maize,83755,751520.0
1981,2038,"Meat indigenous, buffalo",156112,57997.0
1981,2038,"Meat indigenous, cattle",109435,40511.0
1981,2038,"Meat indigenous, goat",56506,23583.0
1981,2038,"Milk, whole fresh buffalo",199834,501000.0
1981,2038,"Milk, whole fresh cow",60852,195000.0
1981,2038,"Milk, whole fresh goat",15772,47000.0
1981,2038,Millet,21616,121710.0
1981,2038,Mustard seed,31169,77140.0
1981,2038,Potatoes,38982,280540.0
1981,2038,"Pulses, nes",19821,38000.0
1981,2038,"Rice, paddy",679646,2560080.0
1981,2038,"Roots and tubers, nes",12142,71000.0
1981,2038,Sugar cane,14080,479780.0
1981,2038,"Vegetables, fresh nes",103643,550000.0
1981,2038,Wheat,68446,477190.0
1980,2037,Chick peas,13215,30000.0
1980,2037,"Eggs, hen, in shell",12026,14500.0
1980,2037,"Fruit, fresh nes",47120,135000.0
1980,2037,Jute,19120,67514.0
1980,2037,Lentils,18785,49000.0
1980,2037,Maize,82903,742940.0
1980,2037,"Meat indigenous, buffalo",128633,47788.0
1980,2037,"Meat indigenous, cattle",107369,39746.0
1980,2037,"Meat indigenous, goat",55301,23080.0
1980,2037,"Milk, whole fresh buffalo",199436,500000.0
1980,2037,"Milk, whole fresh cow",59292,190000.0
1980,2037,"Milk, whole fresh goat",15604,46500.0
1980,2037,Millet,21608,121530.0
1980,2037,Mustard seed,24872,61870.0
1980,2037,Potatoes,38325,278400.0
1980,2037,"Pulses, nes",19854,38000.0
1980,2037,"Rice, paddy",653046,2464310.0
1980,2037,"Roots and tubers, nes",11971,70000.0
1980,2037,"Vegetables, fresh nes",94221,500000.0
1980,2037,Wheat,61682,439990.0
1979,2036,Chick peas,11860,27000.0
1979,2036,"Eggs, hen, in shell",11529,13900.0
1979,2036,"Fruit, fresh nes",46072,132000.0
1979,2036,Jute,18565,65551.0
1979,2036,Lentils,18401,48000.0
1979,2036,Maize,64044,575910.0
1979,2036,"Meat indigenous, buffalo",108727,40393.0
1979,2036,"Meat indigenous, cattle",104820,38803.0
1979,2036,"Meat indigenous, goat",54121,22587.0
1979,2036,"Milk, whole fresh buffalo",198638,498000.0
1979,2036,"Milk, whole fresh cow",58043,186000.0
1979,2036,"Milk, whole fresh goat",15437,46000.0
1979,2036,Millet,21212,119340.0
1979,2036,Mustard seed,37453,92500.0
1979,2036,Potatoes,38497,278790.0
1979,2036,"Pulses, nes",19298,37000.0
1979,2036,"Rice, paddy",542922,2059930.0
1979,2036,"Roots and tubers, nes",11800,69000.0
1979,2036,"Vegetables, fresh nes",94221,500000.0
1979,2036,Wheat,57654,415230.0
1978,2035,"Eggs, hen, in shell",11363,13700.0
1978,2035,"Fruit, fresh nes",45374,130000.0
1978,2035,Jute,15803,55801.0
1978,2035,Lentils,18221,47500.0
1978,2035,Maize,82884,742590.0
1978,2035,"Meat indigenous, buffalo",103409,38417.0
1978,2035,"Meat indigenous, cattle",101812,37689.0
1978,2035,"Meat indigenous, goat",52920,22086.0
1978,2035,"Milk, whole fresh buffalo",197840,496000.0
1978,2035,"Milk, whole fresh cow",57107,183000.0
1978,2035,"Milk, whole fresh goat",15269,45500.0
1978,2035,Millet,23712,133140.0
1978,2035,Mustard seed,31583,78450.0
1978,2035,Potatoes,37388,271870.0
1978,2035,"Pulses, nes",19332,37000.0
1978,2035,"Rice, paddy",619546,2339280.0
1978,2035,"Roots and tubers, nes",11629,68000.0
1978,2035,Sugar cane,11266,387100.0
1978,2035,"Vegetables, fresh nes",75376,400000.0
1978,2035,Wheat,56707,411270.0
1977,2034,Chick peas,10601,24000.0
1977,2034,"Eggs, hen, in shell",11280,13600.0
1977,2034,"Fruit, fresh nes",44327,127000.0
1977,2034,Jute,12744,45000.0
1977,2034,Lentils,17825,46500.0
1977,2034,Maize,82502,740470.0
1977,2034,"Meat indigenous, buffalo",95530,35490.0
1977,2034,"Meat indigenous, cattle",98804,36576.0
1977,2034,"Meat indigenous, goat",51734,21591.0
1977,2034,"Milk, whole fresh buffalo",195846,491000.0
1977,2034,"Milk, whole fresh cow",56795,182000.0
1977,2034,"Milk, whole fresh goat",15101,45000.0
1977,2034,Millet,23051,129510.0
1977,2034,Mustard seed,24627,61382.0
1977,2034,Potatoes,38486,270025.0
1977,2034,"Pulses, nes",18776,36000.0
1977,2034,"Rice, paddy",603944,2282430.0
1977,2034,"Roots and tubers, nes",11458,67000.0
1977,2034,"Vegetables, fresh nes",75376,400000.0
1977,2034,Wheat,51279,361853.0
1976,2033,Chick peas,10843,24500.0
1976,2033,"Eggs, hen, in shell",11197,13500.0
1976,2033,"Fruit, fresh nes",43629,125000.0
1976,2033,Jute,11611,41000.0
1976,2033,Lentils,17237,45000.0
1976,2033,Maize,88806,797339.0
1976,2033,"Meat indigenous, buffalo",84073,31234.0
1976,2033,"Meat indigenous, cattle",96255,35632.0
1976,2033,"Meat indigenous, goat",50602,21119.0
1976,2033,"Milk, whole fresh buffalo",193851,486000.0
1976,2033,"Milk, whole fresh cow",56483,181000.0
1976,2033,"Milk, whole fresh goat",14933,44500.0
1976,2033,Millet,24607,138037.0
1976,2033,Mustard seed,27644,68487.0
1976,2033,Potatoes,47007,313509.0
1976,2033,"Pulses, nes",18809,36000.0
1976,2033,"Rice, paddy",632241,2386272.0
1976,2033,"Roots and tubers, nes",11287,66000.0
1976,2033,"Vegetables, fresh nes",56532,300000.0
1976,2033,Wheat,55902,387007.0
1975,2032,Chick peas,10601,24000.0
1975,2032,"Eggs, hen, in shell",11114,13400.0
1975,2032,"Fruit, fresh nes",43280,124000.0
1975,2032,Jute,11711,41351.0
1975,2032,Lentils,16865,44000.0
1975,2032,Maize,83051,747810.0
1975,2032,"Meat indigenous, buffalo",76634,28470.0
1975,2032,"Meat indigenous, cattle",93041,34442.0
1975,2032,"Meat indigenous, goat",49405,20619.0
1975,2032,"Milk, whole fresh buffalo",191857,481000.0
1975,2032,"Milk, whole fresh cow",56171,180000.0
1975,2032,"Milk, whole fresh goat",14766,44000.0
1975,2032,Millet,25434,142610.0
1975,2032,Mustard seed,26541,65848.0
1975,2032,Potatoes,47366,307483.0
1975,2032,"Pulses, nes",17698,34000.0
1975,2032,"Rice, paddy",691552,2604751.0
1975,2032,"Roots and tubers, nes",11116,65000.0
1975,2032,"Vegetables, fresh nes",56532,300000.0
1975,2032,Wheat,47808,330815.0
1974,2031,Chick peas,10165,23000.0
1974,2031,"Eggs, hen, in shell",11031,13300.0
1974,2031,"Fruit, fresh nes",42582,122000.0
1974,2031,Jute,11368,40140.0
1974,2031,Lentils,16481,43000.0
1974,2031,Maize,91740,826653.0
1974,2031,"Meat indigenous, buffalo",65882,24476.0
1974,2031,"Meat indigenous, cattle",90951,33669.0
1974,2031,"Meat indigenous, goat",48230,20129.0
1974,2031,"Milk, whole fresh buffalo",183481,460000.0
1974,2031,"Milk, whole fresh cow",55859,179000.0
1974,2031,"Milk, whole fresh goat",14598,43500.0
1974,2031,Millet,25349,142212.0
1974,2031,Mustard seed,25629,63621.0
1974,2031,Potatoes,46858,304191.0
1974,2031,"Pulses, nes",18320,35000.0
1974,2031,"Rice, paddy",649911,2452268.0
1974,2031,"Roots and tubers, nes",10945,64000.0
1974,2031,"Vegetables, fresh nes",47110,250000.0
1974,2031,Wheat,45226,308389.0
1973,2030,"Eggs, hen, in shell",10782,13000.0
1973,2030,"Fruit, fresh nes",41884,120000.0
1973,2030,Jute,15704,55450.0
1973,2030,Lentils,16098,42000.0
1973,2030,Maize,90278,813583.0
1973,2030,"Meat indigenous, buffalo",59137,21970.0
1973,2030,"Meat indigenous, cattle",88632,32810.0
1973,2030,"Meat indigenous, goat",46990,19611.0
1973,2030,"Milk, whole fresh buffalo",177498,445000.0
1973,2030,"Milk, whole fresh cow",55547,178000.0
1973,2030,"Milk, whole fresh goat",14430,43000.0
1973,2030,Millet,25290,141879.0
1973,2030,Mustard seed,23969,59575.0
1973,2030,Potatoes,44812,293503.0
1973,2030,"Pulses, nes",17175,33000.0
1973,2030,"Rice, paddy",640175,2416054.0
1973,2030,"Roots and tubers, nes",10774,63000.0
1973,2030,"Tobacco, unmanufactured",11215,7041.0
1973,2030,"Vegetables, fresh nes",37688,200000.0
1973,2030,Wheat,46072,312494.0
1972,2029,"Eggs, hen, in shell",10450,12600.0
1972,2029,"Fruit, fresh nes",41186,118000.0
1972,2029,Jute,16443,58060.0
1972,2029,Lentils,15714,41000.0
1972,2029,Maize,91204,822003.0
1972,2029,"Meat indigenous, buffalo",55167,20495.0
1972,2029,"Meat indigenous, cattle",86336,31960.0
1972,2029,"Meat indigenous, goat",45858,19139.0
1972,2029,"Milk, whole fresh buffalo",171515,430000.0
1972,2029,"Milk, whole fresh cow",55235,177000.0
1972,2029,"Milk, whole fresh goat",14262,42500.0
1972,2029,Millet,24114,135400.0
1972,2029,Mustard seed,23097,57444.0
1972,2029,Potatoes,44452,293368.0
1972,2029,"Pulses, nes",17798,34000.0
1972,2029,"Rice, paddy",529868,2010446.0
1972,2029,"Roots and tubers, nes",10603,62000.0
1972,2029,"Tobacco, unmanufactured",10998,6905.0
1972,2029,"Vegetables, fresh nes",37688,200000.0
1972,2029,Wheat,32188,223194.0
1971,2028,"Eggs, hen, in shell",10119,12200.0
1971,2028,"Fruit, fresh nes",40139,115000.0
1971,2028,Jute,15010,53000.0
1971,2028,Lentils,15330,40000.0
1971,2028,Maize,84741,758727.0
1971,2028,"Meat indigenous, buffalo",50257,18671.0
1971,2028,"Meat indigenous, cattle",84499,31280.0
1971,2028,"Meat indigenous, goat",44661,18639.0
1971,2028,"Milk, whole fresh buffalo",165531,415000.0
1971,2028,"Milk, whole fresh cow",54923,176000.0
1971,2028,"Milk, whole fresh goat",14094,42000.0
1971,2028,Millet,23059,129500.0
1971,2028,Mustard seed,22054,54905.0
1971,2028,Potatoes,40590,272491.0
1971,2028,"Pulses, nes",17208,33000.0
1971,2028,"Rice, paddy",621676,2343826.0
1971,2028,"Roots and tubers, nes",10261,
1971,2028,"Tobacco, unmanufactured",10998,6905.0
1971,2028,"Vegetables, fresh nes",37688,200000.0
1971,2028,Wheat,27770,193360.0
1970,2027,"Eggs, hen, in shell",9870,11900.0
1970,2027,"Fruit, fresh nes",39092,112000.0
1970,2027,Jute,13877,49000.0
1970,2027,Lentils,15150,39500.0
1970,2027,Maize,93167,833318.0
1970,2027,"Meat indigenous, buffalo",44930,16692.0
1970,2027,"Meat indigenous, cattle",82432,30515.0
1970,2027,"Meat indigenous, goat",43485,18149.0
1970,2027,"Milk, whole fresh buffalo",159548,400000.0
1970,2027,"Milk, whole fresh cow",54611,175000.0
1970,2027,"Milk, whole fresh goat",13927,41500.0
1970,2027,Millet,23047,129310.0
1970,2027,Mustard seed,22937,57000.0
1970,2027,Potatoes,38685,263200.0
1970,2027,"Pulses, nes",17242,33000.0
1970,2027,"Rice, paddy",610273,2304204.0
1970,2027,"Roots and tubers, nes",9919,58000.0
1970,2027,"Tobacco, unmanufactured",10672,6700.0
1970,2027,"Vegetables, fresh nes",34862,185000.0
1970,2027,Wheat,39130,264670.0
1969,2026,"Eggs, hen, in shell",9538,11500.0
1969,2026,"Fruit, fresh nes",38394,110000.0
1969,2026,Jute,12178,43000.0
1969,2026,Lentils,14958,39000.0
1969,2026,Maize,88827,794900.0
1969,2026,"Meat indigenous, buffalo",42794,15898.0
1969,2026,"Meat indigenous, cattle",79907,29580.0
1969,2026,"Meat indigenous, goat",42289,17649.0
1969,2026,"Milk, whole fresh buffalo",159548,400000.0
1969,2026,"Milk, whole fresh cow",54299,174000.0
1969,2026,"Milk, whole fresh goat",13759,41000.0
1969,2026,Millet,22192,124600.0
1969,2026,Mustard seed,21721,54000.0
1969,2026,Potatoes,36069,249700.0
1969,2026,"Pulses, nes",16686,32000.0
1969,2026,"Rice, paddy",593385,2241233.0
1969,2026,"Roots and tubers, nes",9577,56000.0
1969,2026,"Tobacco, unmanufactured",10512,6600.0
1969,2026,"Vegetables, fresh nes",33919,180000.0
1969,2026,Wheat,33994,232780.0
1968,2025,"Eggs, hen, in shell",9289,11200.0
1968,2025,"Fruit, fresh nes",37696,108000.0
1968,2025,Jute,13028,46000.0
1968,2025,Lentils,14766,38500.0
1968,2025,Maize,85574,764700.0
1968,2025,"Meat indigenous, buffalo",42343,15731.0
1968,2025,"Meat indigenous, cattle",76922,28475.0
1968,2025,"Meat indigenous, goat",41092,17150.0
1968,2025,"Milk, whole fresh buffalo",153964,386000.0
1968,2025,"Milk, whole fresh cow",53987,173000.0
1968,2025,"Milk, whole fresh goat",13591,40500.0
1968,2025,Millet,21622,121400.0
1968,2025,Mustard seed,20911,52000.0
1968,2025,Potatoes,34988,245300.0
1968,2025,"Pulses, nes",16163,31000.0
1968,2025,"Rice, paddy",575695,2178255.0
1968,2025,"Roots and tubers, nes",9235,54000.0
1968,2025,"Tobacco, unmanufactured",10194,6400.0
1968,2025,"Vegetables, fresh nes",30151,160000.0
1968,2025,Wheat,29963,204957.0
1967,2024,"Eggs, hen, in shell",8957,10800.0
1967,2024,"Fruit, fresh nes",36649,105000.0
1967,2024,Jute,10762,38000.0
1967,2024,Lentils,14574,38000.0
1967,2024,Maize,83438,745600.0
1967,2024,"Meat indigenous, buffalo",41577,15446.0
1967,2024,"Meat indigenous, cattle",73914,27362.0
1967,2024,"Meat indigenous, goat",39916,16659.0
1967,2024,"Milk, whole fresh buffalo",149577,375000.0
1967,2024,"Milk, whole fresh cow",53050,170000.0
1967,2024,"Milk, whole fresh goat",13423,40000.0
1967,2024,Millet,20181,113400.0
1967,2024,Mustard seed,22568,56000.0
1967,2024,Potatoes,43883,300000.0
1967,2024,"Pulses, nes",15641,30000.0
1967,2024,"Rice, paddy",560887,2119429.0
1967,2024,"Roots and tubers, nes",8893,52000.0
1967,2024,"Tobacco, unmanufactured",8442,5300.0
1967,2024,"Vegetables, fresh nes",25440,135000.0
1967,2024,Wheat,22841,159000.0
1966,2023,"Eggs, hen, in shell",8380,10104.0
1966,2023,"Fruit, fresh nes",35601,102000.0
1966,2023,Jute,10970,38735.0
1966,2023,Lentils,14382,37500.0
1966,2023,Maize,92227,824025.0
1966,2023,"Meat indigenous, buffalo",39734,14761.0
1966,2023,"Meat indigenous, cattle",70906,26248.0
1966,2023,"Meat indigenous, goat",38720,16160.0
1966,2023,"Milk, whole fresh buffalo",145588,365000.0
1966,2023,"Milk, whole fresh cow",52738,169000.0
1966,2023,"Milk, whole fresh goat",13255,39500.0
1966,2023,Millet,21403,120000.0
1966,2023,Mustard seed,20513,51000.0
1966,2023,Potatoes,39765,277000.0
1966,2023,"Pulses, nes",15118,29000.0
1966,2023,"Rice, paddy",530389,2007300.0
1966,2023,"Roots and tubers, nes",8551,50000.0
1966,2023,"Tobacco, unmanufactured",14048,8820.0
1966,2023,"Vegetables, fresh nes",23555,125000.0
1966,2023,Wheat,21438,147000.0
1965,2022,"Chillies and peppers, dry",8161,7450.0
1965,2022,"Fruit, fresh nes",34903,100000.0
1965,2022,Jute,10992,38812.0
1965,2022,Lentils,14191,37000.0
1965,2022,Maize,95737,856000.0
1965,2022,"Meat indigenous, buffalo",42173,15668.0
1965,2022,"Meat indigenous, cattle",69505,25730.0
1965,2022,"Meat indigenous, goat",37544,15669.0
1965,2022,"Milk, whole fresh buffalo",143594,360000.0
1965,2022,"Milk, whole fresh cow",52426,168000.0
1965,2022,"Milk, whole fresh goat",13088,39000.0
1965,2022,Millet,21411,120000.0
1965,2022,Mustard seed,20681,51390.0
1965,2022,Potatoes,41436,286000.0
1965,2022,"Pulses, nes",18487,35000.0
1965,2022,"Rice, paddy",585844,2207000.0
1965,2022,"Roots and tubers, nes",8209,48000.0
1965,2022,"Tobacco, unmanufactured",14860,9330.0
1965,2022,"Vegetables, fresh nes",24497,130000.0
1965,2022,Wheat,18159,126000.0
1964,2021,"Chillies and peppers, dry",7997,7300.0
1964,2021,"Fruit, fresh nes",33856,97000.0
1964,2021,Jute,10114,35712.0
1964,2021,Lentils,12365,32500.0
1964,2021,Maize,95553,854000.0
1964,2021,"Meat indigenous, buffalo",41060,15254.0
1964,2021,"Meat indigenous, cattle",68104,25211.0
1964,2021,"Meat indigenous, goat",36347,15170.0
1964,2021,"Milk, whole fresh buffalo",141599,355000.0
1964,2021,"Milk, whole fresh cow",52114,167000.0
1964,2021,"Milk, whole fresh goat",12920,38500.0
1964,2021,Millet,11068,63000.0
1964,2021,Mustard seed,28677,71005.0
1964,2021,Potatoes,24237,185000.0
1964,2021,"Pulses, nes",13840,27000.0
1964,2021,"Rice, paddy",584037,2201000.0
1964,2021,"Roots and tubers, nes",7867,46000.0
1964,2021,"Tobacco, unmanufactured",8601,5400.0
1964,2021,"Vegetables, fresh nes",22613,120000.0
1964,2021,Wheat,20189,138500.0
1963,2020,"Chillies and peppers, dry",7887,7200.0
1963,2020,"Fruit, fresh nes",33158,95000.0
1963,2020,Jute,10461,36936.0
1963,2020,Lentils,12377,32500.0
1963,2020,Maize,94986,849000.0
1963,2020,"Meat indigenous, buffalo",41374,15371.0
1963,2020,"Meat indigenous, cattle",66474,24608.0
1963,2020,"Meat indigenous, goat",35172,14679.0
1963,2020,"Milk, whole fresh buffalo",139605,350000.0
1963,2020,"Milk, whole fresh cow",51802,166000.0
1963,2020,"Milk, whole fresh goat",12752,38000.0
1963,2020,Millet,11362,64000.0
1963,2020,Mustard seed,28547,70680.0
1963,2020,Potatoes,33672,240000.0
1963,2020,"Pulses, nes",17998,34000.0
1963,2020,"Rice, paddy",558315,2109000.0
1963,2020,"Roots and tubers, nes",7524,44000.0
1963,2020,"Tobacco, unmanufactured",8442,5300.0
1963,2020,"Vegetables, fresh nes",20729,110000.0
1963,2020,Wheat,19973,137578.0
1962,2019,"Chillies and peppers, dry",7778,7100.0
1962,2019,"Eggs, hen, in shell",7382,8900.0
1962,2019,"Fruit, fresh nes",32111,92000.0
1962,2019,Jute,9629,34000.0
1962,2019,Lentils,11981,31500.0
1962,2019,Maize,94301,842705.0
1962,2019,"Meat indigenous, buffalo",35867,13325.0
1962,2019,"Meat indigenous, cattle",65303,24174.0
1962,2019,"Meat indigenous, goat",33975,14180.0
1962,2019,"Milk, whole fresh buffalo",137611,345000.0
1962,2019,"Milk, whole fresh cow",51490,165000.0
1962,2019,"Milk, whole fresh goat",12584,37500.0
1962,2019,Millet,12088,68000.0
1962,2019,Mustard seed,28494,70680.0
1962,2019,Potatoes,32018,230000.0
1962,2019,"Pulses, nes",12762,25000.0
1962,2019,"Rice, paddy",558880,2108321.0
1962,2019,"Tobacco, unmanufactured",8282,5200.0
1962,2019,"Vegetables, fresh nes",18844,100000.0
1962,2019,Wheat,20070,138000.0
1961,2018,"Chillies and peppers, dry",7613,6950.0
1961,2018,"Eggs, hen, in shell",7112,8575.0
1961,2018,"Fruit, fresh nes",31413,90000.0
1961,2018,Jute,9063,32000.0
1961,2018,Lentils,11597,30500.0
1961,2018,Maize,94335,843000.0
1961,2018,"Meat indigenous, buffalo",36182,13442.0
1961,2018,"Meat indigenous, cattle",63443,23486.0
1961,2018,"Meat indigenous, goat",31592,13185.0
1961,2018,"Milk, whole fresh buffalo",135616,340000.0
1961,2018,"Milk, whole fresh cow",51178,164000.0
1961,2018,"Milk, whole fresh goat",11745,35000.0
1961,2018,Millet,11170,63000.0
1961,2018,Mustard seed,28625,71000.0
1961,2018,Potatoes,32068,230000.0
1961,2018,"Pulses, nes",13062,25000.0
1961,2018,"Rice, paddy",558808,2108000.0
1961,2018,"Tobacco, unmanufactured",8123,5100.0
1961,2018,"Vegetables, fresh nes",16960,90000.0
1961,2018,Wheat,19581,135000.0
